epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
79,2277.15,1.65197,1.81462,0.93017,0.00298,0.5502,0.73204,0.69401,0.72885,0.41017,0.68493,0.6488,0.66367,0.33309,1.70071,2.12568,1.20061,0.00975,0,0.0002278,0.0002278,0.0002278
80,2305.6,1.64408,1.83033,0.92844,0.00295,0.53946,0.70811,0.7077,0.73532,0.41382,0.64778,0.64451,0.65539,0.33396,1.66935,2.14048,1.18781,0.00962,0,0.0002179,0.0002179,0.0002179
81,2334.49,1.64609,1.79535,0.92679,0.00294,0.53108,0.69775,0.66255,0.71071,0.39855,0.64476,0.60353,0.63135,0.3174,1.68703,2.11016,1.18214,0.00962,0,0.000208,0.000208,0.000208
82,2363.05,1.64702,1.80194,0.93112,0.00301,0.5511,0.69704,0.71068,0.72362,0.43155,0.68074,0.66812,0.66202,0.34614,1.69405,2.09261,1.14606,0.00983,0,0.0001981,0.0001981,0.0001981
83,2391.33,1.61579,1.78966,0.92885,0.0029,0.49707,0.71103,0.69666,0.73625,0.43152,0.66091,0.6621,0.67823,0.35257,1.69794,2.13513,1.20776,0.00965,0,0.0001882,0.0001882,0.0001882
84,2420.4,1.64604,1.81812,0.92298,0.00281,0.498,0.73813,0.66331,0.74449,0.44256,0.77814,0.57108,0.68317,0.35327,1.68659,2.05944,1.17646,0.00929,0,0.0001783,0.0001783,0.0001783
85,2449.54,1.64333,1.75731,0.92417,0.0028,0.50761,0.73106,0.67229,0.71719,0.42719,0.71565,0.61407,0.65039,0.34708,1.66252,2.09696,1.16838,0.00896,0,0.0001684,0.0001684,0.0001684
86,2478.5,1.62168,1.75773,0.89633,0.00288,0.49262,0.6757,0.67383,0.70391,0.43077,0.67076,0.59234,0.63325,0.33701,1.65312,2.12905,1.16878,0.00871,0,0.0001585,0.0001585,0.0001585
87,2507.55,1.61927,1.76797,0.91089,0.00285,0.50514,0.68549,0.67933,0.70173,0.42227,0.62199,0.60904,0.62775,0.33152,1.65916,2.10968,1.19371,0.00926,0,0.0001486,0.0001486,0.0001486
88,2536.32,1.61371,1.76334,0.90057,0.00283,0.50565,0.71886,0.68224,0.73844,0.44749,0.6627,0.62892,0.66049,0.34755,1.64213,2.10954,1.15165,0.00916,0,0.0001387,0.0001387,0.0001387
89,2565.17,1.61344,1.76503,0.87928,0.00281,0.50112,0.74647,0.67507,0.7233,0.43815,0.70486,0.63803,0.66434,0.34986,1.65355,2.13267,1.15901,0.00933,0,0.0001288,0.0001288,0.0001288
90,2594.03,1.63853,1.79544,0.8891,0.00282,0.49606,0.77115,0.64519,0.71781,0.43917,0.7305,0.59249,0.64858,0.34756,1.62936,2.09741,1.16854,0.0085,0,0.0001189,0.0001189,0.0001189
91,2654.93,1.58875,1.77559,0.8984,0.00371,0.27151,0.73501,0.69838,0.72983,0.43506,0.71347,0.6494,0.66943,0.35089,1.6459,2.09058,1.13204,0.00917,0,0.000109,0.000109,0.000109
92,2682.56,1.54658,1.71678,0.85243,0.0035,0.25042,0.71855,0.71415,0.73931,0.44244,0.71362,0.62876,0.68252,0.35177,1.66945,2.09653,1.10856,0.00952,0,9.91e-05,9.91e-05,9.91e-05
93,2710.04,1.58357,1.72907,0.86095,0.00353,0.252,0.73942,0.70187,0.75364,0.45376,0.68178,0.63767,0.66378,0.35884,1.65263,2.11234,1.11244,0.00934,0,8.92e-05,8.92e-05,8.92e-05
94,2737.53,1.56656,1.72192,0.83959,0.00328,0.23639,0.75116,0.70039,0.74666,0.44655,0.69394,0.64319,0.65953,0.35431,1.65638,2.1055,1.1072,0.0092,0,7.93e-05,7.93e-05,7.93e-05
95,2765.01,1.55386,1.69928,0.84592,0.00358,0.23978,0.70055,0.711,0.745,0.44576,0.6559,0.65281,0.65838,0.35061,1.66131,2.1233,1.12673,0.00908,0,6.94e-05,6.94e-05,6.94e-05
96,2792.66,1.5433,1.69138,0.82909,0.00353,0.23398,0.74925,0.71896,0.75627,0.4622,0.69721,0.66156,0.66365,0.36611,1.62728,2.10373,1.08841,0.00905,0,5.95e-05,5.95e-05,5.95e-05
97,2820.1,1.53327,1.69373,0.8263,0.0034,0.23549,0.69764,0.73401,0.7476,0.44946,0.65075,0.66748,0.6606,0.35377,1.65149,2.09508,1.09077,0.00911,0,4.96e-05,4.96e-05,4.96e-05
98,2847.64,1.5257,1.69589,0.80554,0.00315,0.21795,0.77089,0.70727,0.76219,0.4554,0.71015,0.64702,0.66722,0.3605,1.66512,2.12565,1.08483,0.00921,0,3.97e-05,3.97e-05,3.97e-05
99,2875,1.53322,1.69968,0.82654,0.0034,0.23189,0.78957,0.68779,0.76189,0.45745,0.74498,0.63565,0.67501,0.36331,1.66022,2.10331,1.0836,0.00921,0,2.98e-05,2.98e-05,2.98e-05
100,2902.42,1.53061,1.69014,0.81516,0.00323,0.22483,0.78786,0.68999,0.76203,0.45735,0.72948,0.63281,0.67061,0.36182,1.66554,2.09885,1.0623,0.00946,0,1.99e-05,1.99e-05,1.99e-05
